iter	Passed	Remaining
0	0	68
1	1	62
2	1	60
3	2	57
4	3	58
5	3	57
6	4	56
7	4	56
8	5	56
9	6	55
10	6	55
11	7	55
12	8	56
13	9	56
14	9	56
15	10	55
16	11	55
17	12	55
18	12	55
19	13	54
20	14	53
21	14	52
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
